,Year,Rape,K&A,DD,AoW,AoM,DV,WT
Year,1.0,0.8691903529346342,0.9640084106573699,0.2068664184723748,0.8268476903602364,0.07300996031095382,0.9333324636185174,0.6131009105886598
Rape,0.8691903529346342,1.0,0.9264017816044717,0.3857111772024672,0.8432275447171709,0.4600760419451417,0.8929580644892996,0.7903957771191937
K&A,0.9640084106573699,0.9264017816044717,1.0,0.15577539879770116,0.8906488553700839,0.16203665496339936,0.9045450702828143,0.6729128393149072
DD,0.2068664184723748,0.3857111772024672,0.15577539879770116,1.0,0.01404706736489982,0.36541132067333626,0.444129610207668,0.45509759664199423
AoW,0.8268476903602364,0.8432275447171709,0.8906488553700839,0.01404706736489982,1.0,0.2604610265368714,0.7375739769007742,0.44803019479090356
AoM,0.07300996031095382,0.4600760419451417,0.16203665496339936,0.36541132067333626,0.2604610265368714,1.0,0.20223157662579133,0.4026947644496954
DV,0.9333324636185174,0.8929580644892996,0.9045450702828143,0.444129610207668,0.7375739769007742,0.20223157662579133,1.0,0.7323865173481682
WT,0.6131009105886598,0.7903957771191937,0.6729128393149072,0.45509759664199423,0.44803019479090356,0.4026947644496954,0.7323865173481682,1.0
